t0,t1,total_msgs,unique_senders,mean_speed,var_speed,mean_neighbors,mean_rssi,scenario,density
51.0,56.0,7500,150,25.0,0.0,81.68,,highway,density-150
56.0,61.0,7500,150,25.0,0.0,81.68,,highway,density-150
61.0,66.0,7500,150,25.0,0.0,81.68,,highway,density-150
66.0,71.0,7500,150,25.0,0.0,81.68,,highway,density-150
71.0,76.0,7500,150,25.0,0.0,81.68,,highway,density-150
76.0,81.0,7500,150,25.0,0.0,81.68,,highway,density-150
81.0,86.0,7500,150,25.0,0.0,81.68,,highway,density-150
86.0,91.0,7500,150,25.0,0.0,81.68,,highway,density-150
91.0,96.0,7500,150,25.0,0.0,81.68,,highway,density-150
96.0,101.0,7500,150,25.0,0.0,81.68,,highway,density-150
101.0,106.0,7500,150,25.0,0.0,81.68,,highway,density-150
106.0,111.0,7500,150,25.0,0.0,81.68,,highway,density-150
111.0,116.0,7500,150,25.0,0.0,81.68,,highway,density-150
116.0,121.0,7500,150,25.0,0.0,81.68,,highway,density-150
121.0,126.0,7500,150,25.0,0.0,81.68,,highway,density-150
126.0,131.0,7500,150,25.0,0.0,81.68,,highway,density-150
131.0,136.0,7500,150,25.0,0.0,81.68,,highway,density-150
136.0,141.0,7500,150,25.0,0.0,81.68,,highway,density-150
141.0,146.0,7500,150,25.0,0.0,81.68,,highway,density-150
146.0,151.0,7500,150,25.0,0.0,81.68,,highway,density-150
151.0,156.0,7500,150,25.0,0.0,81.68,,highway,density-150
156.0,161.0,7500,150,25.0,0.0,81.68,,highway,density-150
161.0,166.0,7500,150,25.0,0.0,81.68,,highway,density-150
166.0,171.0,7500,150,25.0,0.0,81.68,,highway,density-150
171.0,176.0,7500,150,25.0,0.0,81.68,,highway,density-150
176.0,181.0,7500,150,25.0,0.0,81.68,,highway,density-150
181.0,186.0,7500,150,25.0,0.0,81.68,,highway,density-150
186.0,191.0,7500,150,25.0,0.0,81.68,,highway,density-150
191.0,196.0,7500,150,25.0,0.0,81.68,,highway,density-150
196.0,201.0,7500,150,25.0,0.0,81.68,,highway,density-150
201.0,206.0,7500,150,25.0,0.0,81.68,,highway,density-150
206.0,211.0,7500,150,25.0,0.0,81.68,,highway,density-150
211.0,216.0,7500,150,25.0,0.0,81.68,,highway,density-150
216.0,221.0,7500,150,25.0,0.0,81.68,,highway,density-150
221.0,226.0,7500,150,25.0,0.0,81.68,,highway,density-150
226.0,231.0,7500,150,25.0,0.0,81.68,,highway,density-150
231.0,236.0,7500,150,25.0,0.0,81.68,,highway,density-150
236.0,241.0,7500,150,25.0,0.0,81.68,,highway,density-150
241.0,246.0,7500,150,25.0,0.0,81.68,,highway,density-150
246.0,251.0,7500,150,25.0,0.0,81.68,,highway,density-150
251.0,256.0,7500,150,25.0,0.0,81.68,,highway,density-150
256.0,261.0,7500,150,25.0,0.0,81.68,,highway,density-150
261.0,266.0,7500,150,25.0,0.0,81.68,,highway,density-150
